Code,Address,City,State
BGC,"BRIDGEPORT, CT",Bridgeport, CT
GRT,"GROTON, CT",Groton, CT
HAR,"HARTFORD, CT",Hartford, CT
NWH,"NEW HAVEN, CT",New Haven, CT
NWL,"NEW LONDON, CT",New London, CT
TST,"NEWINGTON DATA CENTER TEST, CT",Newington Data Center Test, CT
WAS,WASHINGTON DC,Washington Dc,WASHINGTON DC
DOV,"DOVER AFB, DE",Dover Afb, DE
DVD,"DOVER-AFB, DE",Dover-afb, DE
WLL,"WILMINGTON, DE",Wilmington, DE
BOC,"BOCAGRANDE, FL",Bocagrande, FL
SRQ,"BRADENTON - SARASOTA, FL",Bradenton - Sarasota, FL
CAN,"CAPE CANAVERAL, FL",Cape Canaveral, FL
DAB,"DAYTONA BEACH INTERNATIONAL, FL",Daytona Beach International, FL
FRN,"FERNANDINA, FL",Fernandina, FL
FTL,"FORT LAUDERDALE, FL",Fort Lauderdale, FL
FMY,"FORT MYERS, FL",Fort Myers, FL
FPF,"FORT PIERCE, FL",Fort Pierce, FL
HUR,"HURLBURT FIELD, FL",Hurlburt Field, FL
GNV,"J R ALISON MUNI - GAINESVILLE, FL",J R Alison Muni - Gainesville, FL
JAC,"JACKSONVILLE, FL",Jacksonville, FL
KEY,"KEY WEST, FL",Key West, FL
LEE,"LEESBURG MUNICIPAL AIRPORT, FL",Leesburg Municipal Airport, FL
MLB,"MELBOURNE, FL",Melbourne, FL
MIA,"MIAMI, FL",Miami, FL
APF,"NAPLES, FL #ARPT",Naples, FL #ARPT
OPF,"OPA LOCKA, FL",Opa Locka, FL
ORL,"ORLANDO, FL",Orlando, FL
PAN,"PANAMA CITY, FL",Panama City, FL
PEN,"PENSACOLA, FL",Pensacola, FL
PCF,"PORT CANAVERAL, FL",Port Canaveral, FL
PEV,"PORT EVERGLADES, FL",Port Everglades, FL
PSJ,"PORT ST JOE, FL",Port St Joe, FL
SFB,"SANFORD, FL",Sanford, FL
SGJ,"ST AUGUSTINE ARPT, FL",St Augustine Arpt, FL
SAU,"ST AUGUSTINE, FL",St Augustine, FL
FPR,"ST LUCIE COUNTY, FL",St Lucie County, FL
SPE,"ST PETERSBURG, FL",St Petersburg, FL
TAM,"TAMPA, FL",Tampa, FL
WPB,"WEST PALM BEACH, FL",West Palm Beach, FL
ATL,"ATLANTA, GA",Atlanta, GA
BRU,"BRUNSWICK, GA",Brunswick, GA
AGS,"BUSH FIELD - AUGUSTA, GA",Bush Field - Augusta, GA
SAV,"SAVANNAH, GA",Savannah, GA
AGA,"AGANA, GU",Agana, GU
HHW,"HONOLULU, HI",Honolulu, HI
OGG,"KAHULUI - MAUI, HI",Kahului - Maui, HI
KOA,"KEAHOLE-KONA, HI",Keahole-kona, HI
LIH,"LIHUE, HI",Lihue, HI
CID,"CEDAR RAPIDS/IOWA CITY, IA",Cedar Rapids/iowa City, IA
DSM,"DES MOINES, IA",Des Moines, IA
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",Air Term. (gowen Fld) Boise, ID
EPI,"EASTPORT, ID",Eastport, ID
IDA,"FANNING FIELD - IDAHO FALLS, ID",Fanning Field - Idaho Falls, ID
PTL,"PORTHILL, ID",Porthill, ID
SPI,"CAPITAL - SPRINGFIELD, IL",Capital - Springfield, IL
CHI,"CHICAGO, IL",Chicago, IL
DPA,"DUPAGE COUNTY, IL",Dupage County, IL
PIA,"GREATER PEORIA, IL",Greater Peoria, IL
RFD,"GREATER ROCKFORD, IL",Greater Rockford, IL
UGN,"MEMORIAL - WAUKEGAN, IL",Memorial - Waukegan, IL
GAR,"GARY, IN",Gary, IN
HMM,"HAMMOND, IN",Hammond, IN
INP,"INDIANAPOLIS, IN",Indianapolis, IN
MRL,"MERRILLVILLE, IN",Merrillville, IN
SBN,"SOUTH BEND, IN",South Bend, IN
ICT,"MID-CONTINENT - WITCHITA, KS",Mid-continent - Witchita, KS
LEX,"BLUE GRASS - LEXINGTON, KY",Blue Grass - Lexington, KY
LOU,"LOUISVILLE, KY",Louisville, KY
BTN,"BATON ROUGE, LA",Baton Rouge, LA
LKC,"LAKE CHARLES, LA",Lake Charles, LA
LAK,"LAKE CHARLES, LA (BPS)",Lake Charles, LA (BPS)
MLU,"MONROE, LA",Monroe, LA
MGC,"MORGAN CITY, LA",Morgan City, LA
NOL,"NEW ORLEANS, LA",New Orleans, LA
BOS,"BOSTON, MA",Boston, MA
GLO,"GLOUCESTER, MA",Gloucester, MA
BED,"HANSCOM FIELD - BEDFORD, MA",Hanscom Field - Bedford, MA
LYN,"LYNDEN, WA",Lynden, WA
ADW,"ANDREWS AFB, MD",Andrews Afb, MD
BAL,"BALTIMORE, MD",Baltimore, MD
MKG,"MUSKEGON, MD",Muskegon, MD
PAX,"PATUXENT RIVER, MD",Patuxent River, MD
BGM,"BANGOR, ME",Bangor, ME
BOO,"BOOTHBAY HARBOR, ME",Boothbay Harbor, ME
BWM,"BRIDGEWATER, ME",Bridgewater, ME
BCK,"BUCKPORT, ME",Buckport, ME
CLS,"CALAIS, ME",Calais, ME
CRB,"CARIBOU, ME",Caribou, ME
COB,"COBURN GORE, ME",Coburn Gore, ME
EST,"EASTCOURT, ME",Eastcourt, ME
EPT,"EASTPORT MUNICIPAL, ME",Eastport Municipal, ME
EPM,"EASTPORT, ME",Eastport, ME
FOR,"FOREST CITY, ME",Forest City, ME
FTF,"FORT FAIRFIELD, ME",Fort Fairfield, ME
FTK,"FORT KENT, ME",Fort Kent, ME
HML,"HAMIIN, ME",Hamiin, ME
HTM,"HOULTON, ME",Houlton, ME
JKM,"JACKMAN, ME",Jackman, ME
KAL,"KALISPEL, MT",Kalispel, MT
LIM,"LIMESTONE, ME",Limestone, ME
LUB,"LUBEC, ME",Lubec, ME
MAD,"MADAWASKA, ME",Madawaska, ME
POM,"PORTLAND, ME",Portland, ME
RGM,"RANGELEY, ME (BPS)",Rangeley, ME (BPS)
SBR,"SOUTH BREWER, ME",South Brewer, ME
SRL,"ST AURELIE, ME",St Aurelie, ME
SPA,"ST PAMPILE, ME",St Pampile, ME
VNB,"VAN BUREN, ME",Van Buren, ME
VCB,"VANCEBORO, ME",Vanceboro, ME
AGN,"ALGONAC, MI",Algonac, MI
ALP,"ALPENA, MI",Alpena, MI
BCY,"BAY CITY, MI",Bay City, MI
DET,"DETROIT, MI",Detroit, MI
GRP,"GRAND RAPIDS, MI",Grand Rapids, MI
GRO,"GROSSE ISLE, MI",Grosse Isle, MI
ISL,"ISLE ROYALE, MI",Isle Royale, MI
MRC,"MARINE CITY, MI",Marine City, MI
MRY,"MARYSVILLE, MI",Marysville, MI
PTK,"OAKLAND COUNTY - PONTIAC, MI",Oakland County - Pontiac, MI
PHU,"PORT HURON, MI",Port Huron, MI
RBT,"ROBERTS LANDING, MI",Roberts Landing, MI
SAG,"SAGINAW, MI",Saginaw, MI
SSM,"SAULT STE. MARIE, MI",Sault Ste. Marie, MI
SCL,"ST CLAIR, MI",St Clair, MI
YIP,"WILLOW RUN - YPSILANTI, MI",Willow Run - Ypsilanti, MI
BAU,"BAUDETTE, MN",Baudette, MN
CAR,"CARIBOU MUNICIPAL AIRPORT, MN",Caribou Municipal Airport, MN
GTF,"Collapsed into INT, MN",Collapsed Into Int, MN
INL,"Collapsed into INT, MN",Collapsed Into Int, MN
CRA,"CRANE LAKE, MN",Crane Lake, MN
MIC,"CRYSTAL MUNICIPAL AIRPORT, MN",Crystal Municipal Airport, MN
DUL,"DULUTH, MN",Duluth, MN
ELY,"ELY, MN",Ely, MN
GPM,"GRAND PORTAGE, MN",Grand Portage, MN
SVC,"GRANT COUNTY - SILVER CITY, MN",Grant County - Silver City, MN
INT,"INTL FALLS, MN",Intl Falls, MN
LAN,"LANCASTER, MN",Lancaster, MN
MSP,"MINN./ST PAUL, MN",Minn./st Paul, MN
LIN,"NORTHERN SVC CENTER, MN",Northern Svc Center, MN
NOY,"NOYES, MN",Noyes, MN
PIN,"PINE CREEK, MN",Pine Creek, MN
48Y,"PINECREEK BORDER ARPT, MN",Pinecreek Border Arpt, MN
RAN,"RAINER, MN",Rainer, MN
RST,"ROCHESTER, MN",Rochester, MN
ROS,"ROSEAU, MN",Roseau, MN
SPM,"ST PAUL, MN",St Paul, MN
WSB,"WARROAD INTL, SPB, MN","Warroad Intl, Spb, Mn","WARROAD INTL, SPB, MN"
WAR,"WARROAD, MN",Warroad, MN
KAN,"KANSAS CITY, MO",Kansas City, MO
SGF,"SPRINGFIELD-BRANSON, MO",Springfield-branson, MO
STL,"ST LOUIS, MO",St Louis, MO
WHI,"WHITETAIL, MT",Whitetail, MT
WHM,"WILD HORSE, MT",Wild Horse, MT
GPT,"BILOXI REGIONAL, MS",Biloxi Regional, MS
GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS",Golden Triangle Lowndes Cnty, MS
GUL,"GULFPORT, MS",Gulfport, MS
PAS,"PASCAGOULA, MS",Pascagoula, MS
JAN,"THOMPSON FIELD - JACKSON, MS",Thompson Field - Jackson, MS
BIL,"BILLINGS, MT",Billings, MT
BTM,"BUTTE, MT",Butte, MT
CHF,"CHIEF MT, MT",Chief Mt, MT
CTB,"CUT BANK MUNICIPAL, MT",Cut Bank Municipal, MT
CUT,"CUT BANK, MT",Cut Bank, MT
DLB,"DEL BONITA, MT",Del Bonita, MT
EUR,"EUREKA, MT (BPS)",Eureka, MT (BPS)
BZN,"GALLATIN FIELD - BOZEMAN, MT",Gallatin Field - Bozeman, MT
FCA,"GLACIER NATIONAL PARK, MT",Glacier National Park, MT
GGW,"GLASGOW, MT",Glasgow, MT
GRE,"GREAT FALLS, MT",Great Falls, MT
HVR,"HAVRE, MT",Havre, MT
HEL,"HELENA, MT",Helena, MT
LWT,"LEWISTON, MT",Lewiston, MT
MGM,"MORGAN, MT",Morgan, MT
OPH,"OPHEIM, MT",Opheim, MT
PIE,"PIEGAN, MT",Piegan, MT
RAY,"RAYMOND, MT",Raymond, MT
ROO,"ROOSVILLE, MT",Roosville, MT
SCO,"SCOBEY, MT",Scobey, MT
SWE,"SWEETGTASS, MT",Sweetgtass, MT
TRL,"TRIAL CREEK, MT",Trial Creek, MT
TUR,"TURNER, MT",Turner, MT
WCM,"WILLOW CREEK, MT",Willow Creek, MT
CLT,"CHARLOTTE, NC",Charlotte, NC
FAY,"FAYETTEVILLE, NC",Fayetteville, NC
MRH,"MOREHEAD CITY, NC",Morehead City, NC
FOP,"MORRIS FIELDS AAF, NC",Morris Fields Aaf, NC
GSO,"PIEDMONT TRIAD INTL AIRPORT, NC",Piedmont Triad Intl Airport, NC
RDU,"RALEIGH/DURHAM, NC",Raleigh/durham, NC
SSC,"SHAW AFB - SUMTER, NC",Shaw Afb - Sumter, NC
WIL,"WILMINGTON, NC",Wilmington, NC
AMB,"AMBROSE, ND",Ambrose, ND
ANT,"ANTLER, ND",Antler, ND
CRY,"CARBURY, ND",Carbury, ND
DNS,"DUNSEITH, ND",Dunseith, ND
FAR,"FARGO, ND",Fargo, ND
FRT,"FORTUNA, ND",Fortuna, ND
GRF,"GRAND FORKS, ND",Grand Forks, ND
HNN,"HANNAH, ND",Hannah, ND
HNS,"HANSBORO, ND",Hansboro, ND
MAI,"MAIDA, ND",Maida, ND
MND,"MINOT, ND",Minot, ND
NEC,"NECHE, ND",Neche, ND
NOO,"NOONAN, ND",Noonan, ND
NRG,"NORTHGATE, ND",Northgate, ND
PEM,"PEMBINA, ND",Pembina, ND
SAR,"SARLES, ND",Sarles, ND
SHR,"SHERWOOD, ND",Sherwood, ND
SJO,"ST JOHN, ND",St John, ND
WAL,"WALHALLA, ND",Walhalla, ND
WHO,"WESTHOPE, ND",Westhope, ND
WND,"WILLISTON, ND",Williston, ND
OMA,"OMAHA, NE",Omaha, NE
LEB,"LEBANON, NH",Lebanon, NH
MHT,"MANCHESTER, NH",Manchester, NH
PNH,"PITTSBURG, NH",Pittsburg, NH
PSM,"PORTSMOUTH, NH",Portsmouth, NH
BYO,"BAYONNE, NJ",Bayonne, NJ
CNJ,"CAMDEN, NJ",Camden, NJ
HOB,"HOBOKEN, NJ",Hoboken, NJ
JER,"JERSEY CITY, NJ",Jersey City, NJ
WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",Mc Guire Afb - Wrightsown, NJ
MMU,"MORRISTOWN, NJ",Morristown, NJ
NEW,"NEWARK/TETERBORO, NJ",Newark/teterboro, NJ
PER,"PERTH AMBOY, NJ",Perth Amboy, NJ
ACY,"POMONA FIELD - ATLANTIC CITY, NJ",Pomona Field - Atlantic City, NJ
ALA,"ALAMAGORDO, NM (BPS)",Alamagordo, NM (BPS)
ABQ,"ALBUQUERQUE, NM",Albuquerque, NM
ANP,"ANTELOPE WELLS, NM",Antelope Wells, NM
CRL,"CARLSBAD, NM",Carlsbad, NM
COL,"COLUMBUS, NM",Columbus, NM
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",Crane Lake - St. Louis Cnty, NM
DNM,"DEMING, NM (BPS)",Deming, NM (BPS)
LAS,"LAS CRUCES, NM",Las Cruces, NM
LOB,"LORDSBURG, NM (BPS)",Lordsburg, NM (BPS)
RUI,"RUIDOSO, NM",Ruidoso, NM
STR,"SANTA TERESA, NM",Santa Teresa, NM
